"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17"
0.0020349241434578264,-2.5257576943236793e-6,-1.3442985085954803e-5,5.687987341115556e-6,2.8989560983976204e-6,-1.0456925354122739e-5,2.719667793434466e-6,-7.276625931065333e-6,1.744256426088325e-5,-4.084359779216637e-6,-4.36026900804316e-6,-2.315691134669605e-7,-9.2848213390612e-9,4.411704287417523e-7,3.81726465640318e-6,-8.227208134991964e-6,1.845183393385674e-6
-2.525757694322981e-6,0.16258850648631953,-0.00012514687398202024,2.298247056249129e-5,5.122629040806183e-5,-0.0036482795140840253,-0.00020283585787216193,-0.009759199410547356,-0.005776864239032492,-0.002210645271735517,-3.620513739169273e-5,3.8685984573528284e-5,1.3037376862504932e-5,0.0002570983362648545,-0.002282358641506485,-0.003175802239291021,0.0005158594452235772
-1.3442985085954846e-5,-0.00012514687398202027,0.004032692198400734,-0.0035344520952836195,-4.369791735834209e-5,1.1729717875132734e-5,-9.119085091142596e-7,-1.0808925734476674e-5,-6.006359806292502e-6,4.560479831471684e-5,-2.0917993516277064e-5,2.6232834096682533e-7,1.8098516730968956e-8,2.9317496795976365e-8,-6.225927202555215e-7,0.00012557214275382323,2.2797404726578895e-7
5.687987341115596e-6,2.2982470562491724e-5,-0.0035344520952836213,0.003339913293028601,1.6571388932244176e-5,1.4737846412121664e-8,-4.437287538190723e-7,2.952881414185411e-6,4.2919240386139885e-6,-1.8744734523364067e-5,1.6508066799338635e-5,2.5866904702062674e-8,9.903267525864992e-9,6.136639165616194e-8,8.86005713335854e-7,-5.010933939161234e-5,3.2209339573119836e-7
2.89895609839762e-6,5.1226290408061646e-5,-4.369791735834196e-5,1.6571388932244047e-5,7.489959784119048e-5,-1.2633465816554826e-5,1.226866553460394e-6,1.4063082359870745e-6,-5.543519445706254e-6,1.9044562364588685e-6,2.085377212285453e-6,-2.443749366692444e-7,-3.046076892395573e-8,-1.524488932535876e-7,-2.0493310286265955e-6,3.4032700279173213e-6,-1.0954596702378523e-6
-1.045692535412279e-5,-0.003648279514084035,1.1729717875132744e-5,1.4737846412166556e-8,-1.2633465816554855e-5,0.0015294974225078398,-0.00022761960512928986,0.00035925954726140515,-0.00029782705947170693,-4.8884288515310616e-5,-0.0001588123417860512,-1.2334543946755064e-5,9.627073574626956e-6,-1.0586363196667423e-5,0.00018542127018913784,-5.176213304061253e-5,4.994005625396828e-5
2.719667793434469e-6,-0.00020283585787216104,-9.119085091142596e-7,-4.4372875381908117e-7,1.226866553460395e-6,-0.00022761960512929002,0.07924917211949314,-3.3978365393123194e-5,-3.223911780115963e-5,-9.667432941252192e-6,0.00011077324012907357,6.263764643332765e-6,-5.560484088558458e-5,1.622624178569801e-6,-3.212296469610386e-6,-1.1908014935976457e-5,1.0871490115156222e-5
-7.276625931065706e-6,-0.009759199410547433,-1.0808925734476464e-5,2.952881414185368e-6,1.4063082359870508e-6,0.00035925954726140585,-3.397836539312295e-5,0.0060931108406360925,0.0003434682547952208,-0.00010798536450579022,-0.000292644683034712,-6.5400602608765585e-6,5.5902863634259515e-8,-0.00010976061371690133,0.00038044476039798564,-0.0004981997469370806,0.0001401397064253182
1.74425642608832e-5,-0.0057768642390324835,-6.006359806292482e-6,4.291924038613976e-6,-5.543519445706256e-6,-0.0002978270594717077,-3.2239117801159467e-5,0.0003434682547952218,0.003292849875102003,-0.00012289188238280964,-0.0002596152719579175,1.0777398063159294e-5,6.656150015070283e-7,-1.0016811769792865e-5,-0.0006655620118098246,-3.961207891631664e-5,1.1036727212346514e-5
-4.084359779216631e-6,-0.002210645271735507,4.560479831471672e-5,-1.874473452336394e-5,1.9044562364588617e-6,-4.888428851531147e-5,-9.667432941252196e-6,-0.00010798536450579502,-0.00012289188238280997,0.0008754356234245852,-6.351624902035437e-5,-3.5844229616797843e-7,1.2765777366248897e-7,-1.0803993709474486e-7,-3.823919609260073e-6,0.0021986935549666176,1.4561836024411332e-5
